penyannyi;judul lagu
raisa;Mantan Terindah
raisa;Kali Kedua
raisa;Usai Di Sini
raisa;Percayalah
raisa;Serba Salah
raisa;Apalah
raisa;Terjebak Nostalgia
raisa;Jatuh Hati
raisa;Teristimewa
raisa;LDR
bigbang;BANG BANG BANG
bigbang;LOSER
bigbang;Bad Boy
bigbang;FANTASTIC BABY
bigbang;FXXK IT
bigbang;Let's Not Fall In Love
bigbang;IF YOU
bigbang;Sober
bigbang;We Like 2 Party
bigbang;FLOWER ROAD
katy perry;Dark Horse
katy perry;Roar
katy perry;Bon appétit
katy perry;Firework
katy perry;Last Friday Night
katy perry;Hot N Cold
katy perry;One of the Boys
katy perry;The One That Got Away
katy perry;Part of Me
katy perry;Unconditionally
exo;Love Shot
exo;Ko Ko Bop
exo;CALL ME BABY
exo;Growl
exo;LOVE ME RIGHT
exo;Tempo
exo;Lotto
exo;Dancing King
exo;Artificial Love
exo;Promise
got7;A
got7;Hard Carry
got7;Just right
got7;If You Do
got7;Never Ever
got7;You Are
got7;Girls Girls Girls
got7;Stop Stop It
got7;Fly
got7;Teenager
lady gaga;Shallow
lady gaga;Poker Face
lady gaga;Bad Romance
lady gaga;Always Remember Us This Way
lady gaga;Paparazzi
lady gaga;I'll Never Love Again
lady gaga;Alejandro
lady gaga;Million Reasons
lady gaga;Just Dance
lady gaga;Telephone
demi lovato;Confident
demi lovato;Really Don't Care
demi lovato;This Is Me
demi lovato;Tell Me You Love Me
demi lovato;Let It Go
demi lovato;Wouldn't Change a Thing
demi lovato;Don't Forget
demi lovato;Neon Lights
demi lovato;For the Love of a Daughter
demi lovato;Made in the USA
meghan trainor;NO
meghan trainor;All About That Bass
meghan trainor;Like I'm Gonna Lose You
meghan trainor;Dear Future Husband
meghan trainor;Me Too
meghan trainor;Better When I'm Dancin'
meghan trainor;Lips Are Movin
meghan trainor;Nice to Meet Ya
meghan trainor;No Excuses
meghan trainor;Wave
red velvet;Psycho
red velvet;Bad Boy
red velvet;Peek-A-Boo
red velvet;Red Flavor
red velvet;Zimzalabim
red velvet;Dumb Dumb
red velvet;Umpah Umpah
red velvet;Power Up
red velvet;Russian Roulette
red velvet;Ice Cream Cake
trevor daniel;Falling
trevor daniel;Past Life
trevor daniel;For You
trevor daniel;Mess
trevor daniel;Forgot
trevor daniel;Lovesick
trevor daniel;Things We Do for Love
trevor daniel;Wake Up
trevor daniel;Wild
trevor daniel;On My Own
